userid,discount,max_value
17669,0,0
43229,50,1.00E+06
465981,0,0
500442,0,0
715795,0,0
822507,0,0
912225,0,0
1175357,0,0
1288946,0,0
1409544,0,0
1636487,20,2.00E+06
2038009,50,1.00E+06
2098429,0,0
2446126,0,0
2569830,0,0
2607709,0,0
2652815,0,0
2678094,20,2.00E+06
2900029,0,0
3066087,0,0
3267365,0,0
3358348,0,0
3434486,0,0
3665724,0,0
3721853,0,0
3909290,0,0
3919230,0,0
3945408,0,0
3964415,0,0
4074888,0,0
4285219,0,0
4355570,0,0
4489098,0,0
4515116,0,0
4607086,50,1.00E+06
4691840,0,0
4762343,0,0
4958452,0,0
5217587,0,0
5384791,0,0
5428232,0,0
5470604,0,0
5535328,0,0
5700202,0,0
5923294,0,0
5931345,0,0
5943083,0,0
5968078,20,2.00E+06
6142194,0,0
6280361,0,0
6357909,0,0
6554613,0,0
6586483,0,0
6606477,0,0
6637678,0,0
6667084,0,0
6766567,0,0
6886848,0,0
6976060,0,0
7025152,0,0
7142649,0,0
7161742,0,0
7202406,0,0
7230355,0,0
7238416,0,0
7337827,0,0
7491857,0,0
7659379,0,0
7834357,0,0
7842181,0,0
7862478,0,0
7868251,0,0
7878857,0,0
7894916,0,0
7958493,0,0
8026612,0,0
8125584,0,0
8193149,0,0
8214919,0,0
8280987,0,0
8618363,0,0
8664635,0,0
8690521,0,0
8693892,0,0
8711135,0,0
8732006,0,0
8735870,0,0
8768595,0,0
8781310,0,0
8830994,0,0
8898763,0,0
8903529,0,0
9032766,0,0
9122943,0,0
9125375,0,0
9133246,0,0
9185009,0,0
9275638,0,0
9328063,0,0
9346435,0,0
9487926,0,0
9522508,0,0
9526158,0,0
9574431,0,0
9679442,0,0
9788313,0,0
9795081,0,0
9853805,0,0
9938178,0,0
9944723,0,0
9975791,0,0
10130317,0,0
10325826,0,0
10327890,0,0
10454904,0,0
10476036,0,0
10568787,0,0
10583281,0,0
10596394,50,1.00E+06
10708308,0,0
10712955,0,0
10784105,0,0
10973490,0,0
11191883,0,0
11268226,0,0
11449079,0,0
11461874,0,0
11499467,0,0
11503142,0,0
11700900,0,0
11710357,0,0
11726832,0,0
11749478,0,0
11808524,0,0
11813012,0,0
11842916,0,0
11902787,0,0
11984789,0,0
12014836,0,0
12019914,0,0
12115387,0,0
12241587,0,0
12253005,0,0
12441288,0,0
12671056,0,0
12701184,0,0
12793576,0,0
13017892,0,0
13050536,0,0
13058302,0,0
13127023,0,0
13131542,0,0
13259365,0,0
13367001,0,0
13369477,0,0
13375457,0,0
13377556,0,0
13390754,0,0
13454729,0,0
